,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre
0,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,Rap
1,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,4,Rap
2,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,4,Rap
3,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,4,Rap
4,0.521,0.564,5,-11.255,0,0.297,0.0945,0.0,0.119,0.595,88.705,3,Rap
5,0.687,0.449,2,-10.061,1,0.154,0.109,0.0,0.282,0.229,142.048,4,Rap
6,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,4,Rap
7,0.848,0.713,7,-5.636,0,0.176,0.158,0.0,0.0765,0.509,111.984,4,Rap
8,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,4,Rap
9,0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,4,Rap
10,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,4,Rap
11,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,4,Rap
12,0.919,0.556,4,-6.049,0,0.164,0.0933,0.0,0.109,0.539,130.025,4,Rap
13,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,4,Rap
14,0.562,0.502,6,-10.269,0,0.255,0.323,0.0,0.0757,0.322,120.104,1,Rap
15,0.745,0.718,9,-4.853,0,0.183,0.197,0.0,0.134,0.539,151.097,4,Rap
16,0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.117,0.745,139.962,4,Rap
17,0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,4,Rap
18,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,5,Rap
19,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,4,Rap
20,0.907,0.765,4,-7.043,1,0.426,0.0512,0.0,0.153,0.896,142.992,4,Rap
21,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,4,Rap
22,0.874,0.714,5,-4.946,1,0.233,0.0273,0.0,0.356,0.85,130.046,4,Rap
23,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,4,Rap
24,0.82,0.697,6,-7.296,0,0.378,0.0349,0.0,0.197,0.629,154.992,4,Rap
25,0.86,0.507,0,-5.776,0,0.369,0.0408,6.15e-06,0.14,0.15,85.005,4,Rap
26,0.786,0.658,0,-2.61,1,0.0661,0.0856,0.0,0.0689,0.458,170.037,4,Rap
27,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,5,Rap
28,0.657,0.522,10,-7.632,1,0.397,0.156,0.0,0.0811,0.442,179.687,4,Rap
29,0.943,0.664,4,-5.952,0,0.106,0.235,5.84e-06,0.112,0.93,120.051,4,Rap
30,0.602,0.726,5,-4.856,0,0.129,0.382,0.0,0.0691,0.554,90.108,4,Rap
31,0.686,0.609,9,-6.784,0,0.165,0.142,0.0,0.0631,0.737,152.05,4,Rap
32,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,4,Rap
33,0.638,0.539,10,-5.853,1,0.0504,0.22,0.0,0.241,0.247,83.381,4,Rap
34,0.897,0.522,2,-7.578,1,0.374,0.0016,0.0,0.0554,0.623,149.986,4,Rap
35,0.744,0.709,0,-5.359,1,0.101,0.275,0.0,0.126,0.72,89.969,4,Rap
36,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,4,Rap
37,0.883,0.635,0,-6.284,0,0.299,0.0307,0.0,0.114,0.542,129.042,4,Rap
38,0.902,0.608,11,-6.238,1,0.27,0.000456,0.0,0.0621,0.836,84.001,4,Rap
39,0.72,0.644,8,-8.099,0,0.341,0.0388,0.0,0.194,0.611,77.673,4,Rap
40,0.849,0.62,4,-5.921,0,0.0589,0.00252,0.000283,0.113,0.481,96.005,4,Rap
41,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,4,Rap
42,0.568,0.764,5,-3.465,0,0.255,0.217,0.0,0.0931,0.625,179.985,4,Rap
43,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,4,Rap
44,0.694,0.744,0,-5.334,0,0.297,0.144,0.0,0.0905,0.425,99.941,4,Rap
45,0.671,0.568,0,-6.48,1,0.421,0.17,0.0,0.139,0.336,113.296,5,Rap
46,0.531,0.607,1,-7.339,1,0.11,0.183,0.0,0.11,0.103,82.586,4,Rap
47,0.938,0.559,10,-6.734,1,0.312,0.0546,0.0,0.157,0.76,119.901,4,Rap
48,0.733,0.389,10,-8.468,0,0.0738,0.0513,0.0,0.141,0.244,157.878,3,Rap
49,0.917,0.494,1,-5.772,1,0.085,0.0393,0.0,0.194,0.341,143.048,4,Rap
56,0.864,0.483,8,-5.147,1,0.363,0.00518,0.0,0.0755,0.428,164.916,4,Rap
61,0.911,0.378,0,-7.822,1,0.411,0.0116,1.53e-06,0.15,0.19,120.044,4,Rap
65,0.704,0.63,1,-5.488,0,0.221,0.00973,0.0,0.115,0.38,154.034,4,Rap
67,0.84,0.583,10,-6.529,0,0.157,0.305,0.0,0.125,0.768,126.02,4,Rap
68,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,4,Rap
69,0.791,0.552,5,-8.289,0,0.0451,0.236,0.0,0.137,0.326,99.98,4,Rap
70,0.778,0.474,11,-9.427,0,0.397,0.0577,0.0,0.108,0.483,150.232,4,Rap
71,0.679,0.408,0,-11.837,0,0.175,0.865,0.000851,0.0894,0.844,150.918,4,Rap
73,0.697,0.685,7,-7.005,1,0.0712,0.14,0.0,0.0824,0.808,94.06,4,Rap
74,0.843,0.485,4,-8.993,0,0.218,0.201,0.0,0.187,0.395,95.017,4,Rap
75,0.867,0.504,1,-7.952,0,0.245,0.0271,6.14e-05,0.11,0.605,157.896,4,Rap
76,0.776,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.038,4,Rap
77,0.812,0.707,8,-5.014,0,0.394,0.0571,0.0,0.102,0.45,179.971,4,Rap
78,0.837,0.495,2,-6.963,1,0.193,0.0509,0.0,0.1,0.503,89.507,4,Rap
79,0.857,0.58,1,-8.32,1,0.213,0.0089,2.16e-05,0.0882,0.527,156.039,4,Rap
80,0.619,0.709,1,-5.694,0,0.408,0.261,0.0,0.0971,0.236,82.34,4,Rap
82,0.927,0.621,9,-7.05,1,0.182,0.0011,8.32e-06,0.405,0.571,140.05,4,Rap
84,0.815,0.638,0,-6.615,1,0.373,0.188,0.0,0.188,0.503,139.981,4,Rap
87,0.805,0.376,7,-10.912,1,0.336,0.546,1.17e-06,0.221,0.421,117.934,4,Rap
88,0.515,0.692,7,-6.969,0,0.326,0.0122,0.0,0.23,0.432,97.46,4,Rap
89,0.835,0.536,2,-7.831,1,0.508,0.341,0.0,0.0887,0.506,160.043,4,Rap
90,0.891,0.828,8,-3.351,1,0.283,0.00963,0.0,0.31,0.702,142.074,4,Rap
91,0.821,0.707,11,-5.138,1,0.169,0.0451,6.07e-05,0.108,0.436,134.979,4,Rap
92,0.885,0.891,10,-3.234,0,0.156,0.185,0.0,0.102,0.879,85.23,4,Rap
93,0.713,0.631,5,-6.934,0,0.242,0.118,0.0,0.495,0.257,140.006,4,Rap
94,0.902,0.472,1,-6.802,1,0.469,0.0153,0.0,0.0539,0.65,140.046,4,Rap
95,0.788,0.559,1,-5.085,0,0.259,0.507,0.0,0.0992,0.143,149.083,4,Rap
96,0.637,0.567,1,-8.14,1,0.427,0.0275,0.0,0.16,0.698,90.557,3,Rap
98,0.849,0.542,8,-6.306,1,0.368,0.525,0.000609,0.569,0.675,92.014,4,Rap
99,0.774,0.669,7,-7.397,0,0.221,0.415,0.0,0.105,0.528,89.954,4,Rap
100,0.635,0.517,1,-7.646,0,0.24,0.608,0.0,0.0918,0.353,154.911,4,Rap
101,0.619,0.695,10,-4.005,0,0.206,0.336,0.0,0.0859,0.361,82.155,4,Rap
102,0.5,0.78,6,-6.824,0,0.354,0.64,0.0,0.134,0.637,92.27,4,Rap
103,0.818,0.636,5,-7.812,0,0.344,0.022,0.0,0.0865,0.651,139.885,4,Rap
104,0.844,0.555,5,-4.933,0,0.121,0.196,9.53e-05,0.105,0.751,152.062,4,Rap
105,0.851,0.673,1,-5.405,1,0.257,0.0452,0.0,0.314,0.776,120.973,4,Rap
106,0.579,0.681,1,-6.458,1,0.0436,0.0423,0.0,0.441,0.25,141.13,4,Rap
107,0.778,0.591,10,-8.835,0,0.174,0.0123,0.0,0.0832,0.609,154.977,4,Rap
108,0.74,0.761,0,-4.753,0,0.0851,0.0691,0.0,0.142,0.453,146.144,4,Rap
109,0.737,0.622,1,-9.268,1,0.315,0.169,0.00746,0.131,0.517,99.063,4,Rap
110,0.671,0.636,0,-6.009,1,0.197,0.259,0.0,0.103,0.457,152.029,4,Rap
111,0.673,0.665,5,-8.106,1,0.3,0.214,0.0,0.0344,0.803,87.977,4,Rap
112,0.868,0.463,8,-5.877,0,0.125,0.23,0.0,0.0784,0.769,157.942,4,Rap
113,0.679,0.853,0,-5.289,0,0.0659,0.195,0.0,0.132,0.767,76.064,4,Rap
114,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,4,Rap
115,0.678,0.672,0,-5.688,1,0.0302,0.00959,0.0,0.0868,0.625,136.933,4,Rap
116,0.968,0.382,1,-5.981,1,0.284,0.408,2.4e-06,0.103,0.69,121.952,4,Rap
117,0.745,0.704,0,-6.962,1,0.233,0.246,0.0,0.314,0.56,98.042,4,Rap
118,0.798,0.662,11,-5.546,0,0.242,0.0956,0.0,0.0798,0.542,76.969,4,Rap
119,0.873,0.578,2,-6.354,1,0.336,0.0318,0.0,0.102,0.702,100.011,4,Rap
120,0.516,0.611,7,-8.007,1,0.325,0.729,0.0,0.0836,0.3,97.082,4,Rap
121,0.878,0.555,8,-4.702,1,0.506,0.0506,0.0,0.102,0.382,142.077,4,Rap
122,0.956,0.668,1,-5.365,1,0.362,0.00975,0.0,0.113,0.481,127.927,4,Rap
123,0.905,0.453,1,-11.888,1,0.16,0.00132,0.0873,0.112,0.243,147.038,4,Rap
124,0.79,0.773,2,-3.904,1,0.317,0.00553,0.0,0.221,0.394,120.111,5,Rap
125,0.733,0.824,6,-4.341,1,0.289,0.592,0.00042,0.217,0.913,83.812,4,Rap
126,0.637,0.437,4,-13.836,1,0.322,0.163,0.0,0.124,0.486,171.477,3,Rap
127,0.855,0.504,2,-8.941,1,0.315,0.0382,0.0,0.112,0.347,137.015,4,Rap
128,0.688,0.697,9,-6.702,1,0.366,0.496,0.0,0.122,0.743,148.344,4,Rap
129,0.945,0.462,9,-8.81,1,0.387,0.0188,0.0,0.602,0.284,132.018,4,Rap
130,0.72,0.484,1,-5.021,1,0.415,0.0132,0.0299,0.113,0.166,179.957,4,Rap
131,0.898,0.426,1,-11.193,1,0.384,0.0281,0.0,0.121,0.271,139.978,4,Rap
132,0.759,0.607,0,-6.911,0,0.18,0.0734,8.39e-06,0.31,0.766,154.974,4,Rap
133,0.845,0.638,3,-6.466,1,0.394,0.271,0.0,0.0845,0.754,78.494,4,Rap
134,0.678,0.623,1,-5.034,1,0.0828,0.16,0.0,0.151,0.103,160.018,4,Rap
